customer_id,country,gender,membership_tier,preferred_category,preferred_device,preferred_payment_method,acquisition_channel,age,total_orders,total_spend_usd,avg_order_value_usd,days_since_last_purchase,reviews_given,avg_review_score,returns_made,wishlist_items,newsletter_subscribed,customer_tenure_days,orders_per_year,reviews_per_order,returns_per_order,churned
C00001,United States,Male,Free,Food & Grocery,Mobile,Debit Card,Social Media,40,4,286.63,63.78,49,1,4.5,0,12,0,2631,0.5553021664766249,0.25,0.0,0
C00002,United States,Female,Free,Toys & Games,Mobile,Debit Card,Organic Search,20,11,1245.18,107.32,126,2,2.6,1,1,0,28,143.49107142857144,0.18181818181818182,0.09090909090909091,0
C00003,United States,Female,Gold,Home & Kitchen,Mobile,PayPal,Referral,43,4,195.37,42.74,0,0,4.8,0,0,1,52,28.096153846153843,0.0,0.0,0
C00004,United States,Male,Free,Electronics,Desktop,PayPal,Organic Search,41,6,99.45,15.61,6,2,4.2,0,8,1,378,5.7976190476190474,0.3333333333333333,0.0,0
C00005,France,Other,Platinum,Clothing & Apparel,Tablet,Debit Card,Social Media,37,36,2593.21,79.09,161,9,4.0,4,5,1,568,23.14964788732394,0.25,0.1111111111111111,0
C00006,UAE,Male,Platinum,Office Supplies,Tablet,UPI / Digital Wallet,Organic Search,34,20,1639.15,79.99,4,3,4.3,2,7,1,714,10.231092436974789,0.15,0.1,0
C00007,Canada,Male,Silver,Clothing & Apparel,Desktop,UPI / Digital Wallet,Email Campaign,25,5,200.79,44.67,108,1,3.9,0,7,1,210,8.696428571428571,0.2,0.0,0
C00008,Singapore,Female,Silver,Sports & Outdoors,Mobile,PayPal,Referral,33,32,947.14,33.12,122,3,4.5,4,0,0,235,49.736170212765956,0.09375,0.125,0
C00009,United States,Male,Free,Clothing & Apparel,Mobile,Credit Card,Organic Search,47,49,4320.4,88.62,4,16,3.9,4,4,1,14,1278.375,0.32653061224489793,0.08163265306122448,0
C00010,United States,Male,Free,Beauty & Personal Care,Mobile,Credit Card,Social Media,18,4,111.38,24.98,82,1,3.7,0,4,1,197,7.416243654822336,0.25,0.0,0
C00011,United States,Female,Silver,Home & Kitchen,Mobile,UPI / Digital Wallet,Organic Search,64,27,253.72,9.18,54,10,4.3,3,1,1,162,60.875,0.37037037037037035,0.1111111111111111,0
C00012,United Kingdom,Other,Free,Books,Mobile,Debit Card,Paid Ad,40,7,941.66,155.85,24,1,4.9,0,12,0,1230,2.078658536585366,0.14285714285714285,0.0,0
C00013,United Kingdom,Male,Platinum,Electronics,Mobile,Debit Card,Direct,42,8,342.45,45.35,58,2,4.4,0,0,1,60,48.7,0.25,0.0,0
C00014,Netherlands,Female,Silver,Beauty & Personal Care,Mobile,Credit Card,Email Campaign,40,31,3404.13,107.74,9,3,4.8,0,0,1,219,51.70205479452055,0.0967741935483871,0.0,0
C00015,Brazil,Male,Silver,Health & Wellness,Mobile,Bank Transfer,Organic Search,52,18,2901.68,144.49,40,1,4.2,0,0,1,1217,5.402218570254725,0.05555555555555555,0.0,0
C00016,United States,Male,Free,Health & Wellness,Mobile,Debit Card,Organic Search,33,11,327.64,27.92,36,2,4.1,0,11,1,493,8.149594320486816,0.18181818181818182,0.0,0
C00017,United States,Female,Free,Travel & Luggage,Desktop,UPI / Digital Wallet,Email Campaign,29,11,733.7,72.22,32,1,4.6,1,4,0,1042,3.8558061420345493,0.09090909090909091,0.09090909090909091,0
C00018,France,Male,Gold,Office Supplies,Desktop,Credit Card,Organic Search,36,48,2040.03,41.18,93,6,4.6,0,8,1,1582,11.082174462705435,0.125,0.0,0
C00019,United States,Male,Gold,Home & Kitchen,Mobile,Debit Card,Paid Ad,34,2,142.28,76.73,0,0,4.3,0,3,1,1824,0.4004934210526316,0.0,0.0,0
C00020,Singapore,Male,Free,Beauty & Personal Care,Desktop,UPI / Digital Wallet,Social Media,18,33,3655.72,96.96,1,3,4.6,2,8,1,3603,3.34533721898418,0.09090909090909091,0.06060606060606061,1
C00021,United Kingdom,Male,Free,Clothing & Apparel,Desktop,Bank Transfer,Email Campaign,29,8,176.93,23.77,92,2,4.7,0,1,1,245,11.926530612244898,0.25,0.0,0
C00022,Mexico,Female,Free,Travel & Luggage,Desktop,PayPal,Paid Ad,22,48,833.16,20.02,24,14,3.9,6,8,0,593,29.564924114671165,0.2916666666666667,0.125,0
C00023,United Kingdom,Female,Platinum,Food & Grocery,Desktop,Debit Card,Paid Ad,47,43,4004.31,102.24,2,11,4.1,3,2,1,435,36.1051724137931,0.2558139534883721,0.06976744186046512,0
C00024,Japan,Male,Platinum,Electronics,Mobile,PayPal,Social Media,47,5,954.36,166.04,45,0,4.2,0,1,1,509,3.587917485265226,0.0,0.0,0
C00025,United States,Female,Free,Electronics,Desktop,Credit Card,Email Campaign,37,14,1298.41,81.8,50,4,4.6,0,3,0,636,8.040094339622641,0.2857142857142857,0.0,0
C00026,Brazil,Female,Free,Clothing & Apparel,Mobile,Credit Card,Direct,50,16,677.67,40.03,36,4,4.4,0,12,0,1140,5.126315789473684,0.25,0.0,1
C00027,India,Male,Free,Beauty & Personal Care,Desktop,PayPal,Organic Search,30,5,417.42,97.94,2,1,4.7,0,2,1,69,26.467391304347828,0.2,0.0,0
C00028,Japan,Female,Free,Sports & Outdoors,Mobile,UPI / Digital Wallet,Organic Search,37,1,126.93,130.83,28,0,4.2,0,2,1,102,3.5808823529411766,0.0,0.0,0
C00029,France,Female,Gold,Electronics,Mobile,Credit Card,Email Campaign,18,13,981.01,70.6,31,4,3.7,0,0,1,1541,3.0812783906554184,0.3076923076923077,0.0,0
C00030,Netherlands,Male,Silver,Books,Mobile,Credit Card,Social Media,40,12,4801.36,355.76,22,2,4.8,0,5,1,608,7.208881578947368,0.16666666666666666,0.0,0
C00031,Canada,Male,Free,Home & Kitchen,Desktop,Credit Card,Email Campaign,33,2,132.01,57.84,39,0,3.6,0,4,1,891,0.8198653198653199,0.0,0.0,0
C00032,United States,Female,Silver,Jewelry & Accessories,Tablet,PayPal,Organic Search,18,11,1431.44,129.02,26,1,4.3,0,4,1,845,4.754733727810651,0.09090909090909091,0.0,0
C00033,United Kingdom,Female,Free,Electronics,Mobile,Credit Card,Social Media,38,2,170.56,76.22,141,0,3.7,0,3,1,355,2.0577464788732396,0.0,0.0,0
