feature,importance
num__days_since_last_purchase,0.14682065713603357
num__total_orders,0.08870208625789719
num__total_spend_usd,0.0768992185547939
num__orders_per_year,0.07200129241074588
num__customer_tenure_days,0.0615679011894219
num__avg_order_value_usd,0.061119061907153015
num__reviews_per_order,0.05310548333819761
num__age,0.04883917462187304
num__avg_review_score,0.04436609879337026
num__reviews_given,0.04024938532167581
num__wishlist_items,0.03988289748189806
num__returns_per_order,0.024378348265628423
num__returns_made,0.012488635023881351
cat__preferred_payment_method_Credit Card,0.010257070596989956
num__newsletter_subscribed,0.00968168632847287
cat__preferred_device_Mobile,0.009550122360133995
cat__country_United States,0.008728604561177813
cat__gender_Female,0.008699619886936912
cat__gender_Male,0.00868690921047729
cat__acquisition_channel_Organic Search,0.00854182918774521
cat__preferred_device_Desktop,0.008102029709860525
cat__membership_tier_Free,0.00774784760810272
cat__acquisition_channel_Social Media,0.007311543459630985
cat__acquisition_channel_Email Campaign,0.007187163102412399
cat__preferred_category_Electronics,0.0070547182607842976
cat__preferred_payment_method_Debit Card,0.006957428177146635
cat__membership_tier_Silver,0.006784464172932458
cat__preferred_payment_method_PayPal,0.005948745980502894
cat__membership_tier_Gold,0.005716758808806697
cat__preferred_category_Clothing & Apparel,0.005484851860894634
cat__preferred_category_Books,0.005319138348385312
cat__acquisition_channel_Paid Ad,0.005307383198953106
cat__preferred_category_Home & Kitchen,0.004766948044095963
cat__preferred_device_Tablet,0.004741600567351701
cat__acquisition_channel_Direct,0.004601581350590954
cat__country_United Kingdom,0.004385173492004987
cat__country_India,0.004081280185853791
cat__preferred_payment_method_UPI / Digital Wallet,0.003960377464823526
cat__preferred_payment_method_Bank Transfer,0.003390245023978827
cat__preferred_category_Food & Grocery,0.0033040394888531597
cat__acquisition_channel_Referral,0.0030921152076887103
cat__country_Germany,0.003075697477072896
cat__preferred_category_Sports & Outdoors,0.002988140464094584
cat__preferred_category_Beauty & Personal Care,0.0029729873287932624
cat__membership_tier_Platinum,0.002859053378616968
cat__country_Brazil,0.0028270582265768553
cat__preferred_category_Automotive,0.002546862065881692
cat__preferred_category_Toys & Games,0.0025020391749484856
cat__preferred_payment_method_Buy Now Pay Later,0.002431193906695223
cat__country_Canada,0.002406157507923026
cat__country_France,0.0023241494008548946
cat__preferred_category_Health & Wellness,0.001968152555084354
cat__gender_Other,0.0019177910903259933
cat__preferred_category_Jewelry & Accessories,0.0019141913770048195
cat__country_Australia,0.0018539659962424036
cat__preferred_payment_method_Cryptocurrency,0.0017256687634950277
cat__preferred_category_Office Supplies,0.0017055457792175914
cat__country_Japan,0.0015345209509820396
cat__country_Netherlands,0.001430776987143757
cat__country_Mexico,0.0014297700453607771
cat__country_Turkey,0.001380469163859882
cat__preferred_category_Pet Supplies,0.0012618660710900767
cat__country_Spain,0.001072097556239568
cat__country_Italy,0.0008823432167748515
cat__country_South Korea,0.0007403027614386277
cat__preferred_category_Travel & Luggage,0.0006845181597276938
cat__country_Singapore,0.0004267838272216907
cat__country_UAE,0.00039275222818733134
cat__country_Sweden,0.000361537830186796
cat__country_Poland,0.0003162258156868332
cat__country_South Africa,0.00025586494511350456
